Provinsi,KabKot,Jenis Kelamin,Tingkat Pendidikan,Jumlah Penduduk,Latitude,Longitude
Sumatera Utara,Tapanuli Utara,Jumlah Laki Laki,Tamat SLTA,28017,2.0633,98.8284
Sumatera Utara,Tapanuli Utara,Jumlah Laki Laki,Tamat PT,4389,2.0633,98.8284
Sumatera Utara,Toba Samosir,Jumlah Laki Laki,Tidak/Belum Tamat SD,1961,2.50027,99.0042
Sumatera Utara,Toba Samosir,Jumlah Laki Laki,Tamat SD,8757,2.50027,99.0042
Sumatera Utara,Toba Samosir,Jumlah Laki Laki,Tamat SLTP,16535,2.50027,99.0042
Sumatera Utara,Toba Samosir,Jumlah Laki Laki,Tamat SLTA,22092,2.50027,99.0042
Sumatera Utara,Toba Samosir,Jumlah Laki Laki,Tamat PT,3837,2.50027,99.0042
Sumatera Utara,Labuhan Batu,Jumlah Laki Laki,Tidak/Belum Tamat SD,7062,2.14783,99.9218
Sumatera Utara,Labuhan Batu,Jumlah Laki Laki,Tamat SD,44574,2.14783,99.9218
Sumatera Utara,Labuhan Batu,Jumlah Laki Laki,Tamat SLTP,36086,2.14783,99.9218
Sumatera Utara,Labuhan Batu,Jumlah Laki Laki,Tamat SLTA,40568,2.14783,99.9218
Sumatera Utara,Labuhan Batu,Jumlah Laki Laki,Tamat PT,6136,2.14783,99.9218
Sumatera Utara,Asahan,Jumlah Laki Laki,Tidak/Belum Tamat SD,12448,2.98305,99.531
Sumatera Utara,Asahan,Jumlah Laki Laki,Tamat SD,75607,2.98305,99.531
Sumatera Utara,Asahan,Jumlah Laki Laki,Tamat SLTP,60390,2.98305,99.531
Sumatera Utara,Asahan,Jumlah Laki Laki,Tamat SLTA,62440,2.98305,99.531
Sumatera Utara,Asahan,Jumlah Laki Laki,Tamat PT,8076,2.98305,99.531
Sumatera Utara,Simalungun,Jumlah Laki Laki,Tidak/Belum Tamat SD,12423,2.95304,99.2713
Sumatera Utara,Simalungun,Jumlah Laki Laki,Tamat SD,71031,2.95304,99.2713
Sumatera Utara,Simalungun,Jumlah Laki Laki,Tamat SLTP,81070,2.95304,99.2713
Sumatera Utara,Simalungun,Jumlah Laki Laki,Tamat SLTA,93546,2.95304,99.2713
Sumatera Utara,Simalungun,Jumlah Laki Laki,Tamat PT,10253,2.95304,99.2713
Sumatera Utara,Dairi,Jumlah Laki Laki,Tidak/Belum Tamat SD,4491,2.82712,98.2783
Sumatera Utara,Dairi,Jumlah Laki Laki,Tamat SD,21196,2.82712,98.2783
Sumatera Utara,Dairi,Jumlah Laki Laki,Tamat SLTP,28585,2.82712,98.2783
Sumatera Utara,Dairi,Jumlah Laki Laki,Tamat SLTA,23153,2.82712,98.2783
Sumatera Utara,Dairi,Jumlah Laki Laki,Tamat PT,3726,2.82712,98.2783
Sumatera Utara,Karo,Jumlah Laki Laki,Tidak/Belum Tamat SD,5617,3.09635,98.2514
Sumatera Utara,Karo,Jumlah Laki Laki,Tamat SD,29506,3.09635,98.2514
Sumatera Utara,Karo,Jumlah Laki Laki,Tamat SLTP,33615,3.09635,98.2514
Sumatera Utara,Karo,Jumlah Laki Laki,Tamat SLTA,38243,3.09635,98.2514
Sumatera Utara,Karo,Jumlah Laki Laki,Tamat PT,6615,3.09635,98.2514
Sumatera Utara,Deli Serdang,Jumlah Laki Laki,Tidak/Belum Tamat SD,19465,3.46231,98.888
Sumatera Utara,Deli Serdang,Jumlah Laki Laki,Tamat SD,127487,3.46231,98.888
Sumatera Utara,Deli Serdang,Jumlah Laki Laki,Tamat SLTP,168890,3.46231,98.888
Sumatera Utara,Deli Serdang,Jumlah Laki Laki,Tamat SLTA,252034,3.46231,98.888
Sumatera Utara,Deli Serdang,Jumlah Laki Laki,Tamat PT,36857,3.46231,98.888
Sumatera Utara,Langkat,Jumlah Laki Laki,Tidak/Belum Tamat SD,22098,3.766,98.2307
Sumatera Utara,Langkat,Jumlah Laki Laki,Tamat SD,115225,3.766,98.2307
Sumatera Utara,Langkat,Jumlah Laki Laki,Tamat SLTP,86401,3.766,98.2307
Sumatera Utara,Langkat,Jumlah Laki Laki,Tamat SLTA,90301,3.766,98.2307
Sumatera Utara,Langkat,Jumlah Laki Laki,Tamat PT,9749,3.766,98.2307
Sumatera Utara,Nias Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,10123,0.786682,97.7166
Sumatera Utara,Nias Selatan,Jumlah Laki Laki,Tamat SD,17120,0.786682,97.7166
Sumatera Utara,Nias Selatan,Jumlah Laki Laki,Tamat SLTP,12516,0.786682,97.7166
Sumatera Utara,Nias Selatan,Jumlah Laki Laki,Tamat SLTA,10509,0.786682,97.7166
Sumatera Utara,Nias Selatan,Jumlah Laki Laki,Tamat PT,2348,0.786682,97.7166
Sumatera Utara,Humbang Hasundutan,Jumlah Laki Laki,Tidak/Belum Tamat SD,2131,2.23062,98.5734
Sumatera Utara,Humbang Hasundutan,Jumlah Laki Laki,Tamat SD,10325,2.23062,98.5734
Sumatera Utara,Humbang Hasundutan,Jumlah Laki Laki,Tamat SLTP,17859,2.23062,98.5734
Sumatera Utara,Humbang Hasundutan,Jumlah Laki Laki,Tamat SLTA,16331,2.23062,98.5734
Sumatera Utara,Humbang Hasundutan,Jumlah Laki Laki,Tamat PT,2438,2.23062,98.5734
Sumatera Utara,Pakpak Bharat,Jumlah Laki Laki,Tidak/Belum Tamat SD,806,2.55478,98.2762
Sumatera Utara,Pakpak Bharat,Jumlah Laki Laki,Tamat SD,3803,2.55478,98.2762
Sumatera Utara,Pakpak Bharat,Jumlah Laki Laki,Tamat SLTP,3592,2.55478,98.2762
Sumatera Utara,Pakpak Bharat,Jumlah Laki Laki,Tamat SLTA,3036,2.55478,98.2762
Sumatera Utara,Pakpak Bharat,Jumlah Laki Laki,Tamat PT,676,2.55478,98.2762
Sumatera Utara,Samosir,Jumlah Laki Laki,Tidak/Belum Tamat SD,2095,2.50894,98.6264
Sumatera Utara,Samosir,Jumlah Laki Laki,Tamat SD,7650,2.50894,98.6264
Sumatera Utara,Samosir,Jumlah Laki Laki,Tamat SLTP,11163,2.50894,98.6264
Sumatera Utara,Samosir,Jumlah Laki Laki,Tamat SLTA,12505,2.50894,98.6264
Sumatera Utara,Samosir,Jumlah Laki Laki,Tamat PT,2041,2.50894,98.6264
Sumatera Utara,Serdang Bedagai,Jumlah Laki Laki,Tidak/Belum Tamat SD,10556,3.34975,99.0295
Sumatera Utara,Serdang Bedagai,Jumlah Laki Laki,Tamat SD,66349,3.34975,99.0295
Sumatera Utara,Serdang Bedagai,Jumlah Laki Laki,Tamat SLTP,56880,3.34975,99.0295
Sumatera Utara,Serdang Bedagai,Jumlah Laki Laki,Tamat SLTA,57350,3.34975,99.0295
Sumatera Utara,Serdang Bedagai,Jumlah Laki Laki,Tamat PT,5451,3.34975,99.0295
Sumatera Utara,Batu Bara,Jumlah Laki Laki,Tidak/Belum Tamat SD,11521,3.23175,99.5003
Sumatera Utara,Batu Bara,Jumlah Laki Laki,Tamat SD,42406,3.23175,99.5003
Sumatera Utara,Batu Bara,Jumlah Laki Laki,Tamat SLTP,31304,3.23175,99.5003
Sumatera Utara,Batu Bara,Jumlah Laki Laki,Tamat SLTA,30661,3.23175,99.5003
Sumatera Utara,Batu Bara,Jumlah Laki Laki,Tamat PT,3470,3.23175,99.5003
Sumatera Utara,Padang Lawas Utara,Jumlah Laki Laki,Tidak/Belum Tamat SD,3280,1.61899,99.6822
Sumatera Utara,Padang Lawas Utara,Jumlah Laki Laki,Tamat SD,22516,1.61899,99.6822
Sumatera Utara,Padang Lawas Utara,Jumlah Laki Laki,Tamat SLTP,20220,1.61899,99.6822
Sumatera Utara,Padang Lawas Utara,Jumlah Laki Laki,Tamat SLTA,17919,1.61899,99.6822
Sumatera Utara,Padang Lawas Utara,Jumlah Laki Laki,Tamat PT,1963,1.61899,99.6822
Sumatera Utara,Padang Lawas,Jumlah Laki Laki,Tidak/Belum Tamat SD,3608,1.2403,99.9102
Sumatera Utara,Padang Lawas,Jumlah Laki Laki,Tamat SD,24810,1.2403,99.9102
Sumatera Utara,Padang Lawas,Jumlah Laki Laki,Tamat SLTP,18895,1.2403,99.9102
Sumatera Utara,Padang Lawas,Jumlah Laki Laki,Tamat SLTA,16922,1.2403,99.9102
Sumatera Utara,Padang Lawas,Jumlah Laki Laki,Tamat PT,2189,1.2403,99.9102
Sumatera Utara,Labuhan Batu Selatan,Jumlah Laki Laki,Tidak/Belum Tamat SD,4729,1.8468,100.077
Sumatera Utara,Labuhan Batu Selatan,Jumlah Laki Laki,Tamat SD,30768,1.8468,100.077
Sumatera Utara,Labuhan Batu Selatan,Jumlah Laki Laki,Tamat SLTP,26091,1.8468,100.077
Sumatera Utara,Labuhan Batu Selatan,Jumlah Laki Laki,Tamat SLTA,24342,1.8468,100.077
Sumatera Utara,Labuhan Batu Selatan,Jumlah Laki Laki,Tamat PT,2446,1.8468,100.077
Sumatera Utara,Labuhan Batu Utara,Jumlah Laki Laki,Tidak/Belum Tamat SD,5339,2.42728,99.7271
Sumatera Utara,Labuhan Batu Utara,Jumlah Laki Laki,Tamat SD,38113,2.42728,99.7271
Sumatera Utara,Labuhan Batu Utara,Jumlah Laki Laki,Tamat SLTP,33187,2.42728,99.7271
Sumatera Utara,Labuhan Batu Utara,Jumlah Laki Laki,Tamat SLTA,26779,2.42728,99.7271
Sumatera Utara,Labuhan Batu Utara,Jumlah Laki Laki,Tamat PT,2693,2.42728,99.7271
Sumatera Utara,Nias Utara,Jumlah Laki Laki,Tidak/Belum Tamat SD,5571,1.30584,97.3029
Sumatera Utara,Nias Utara,Jumlah Laki Laki,Tamat SD,10730,1.30584,97.3029
Sumatera Utara,Nias Utara,Jumlah Laki Laki,Tamat SLTP,7421,1.30584,97.3029
Sumatera Utara,Nias Utara,Jumlah Laki Laki,Tamat SLTA,5756,1.30584,97.3029
Sumatera Utara,Nias Utara,Jumlah Laki Laki,Tamat PT,1110,1.30584,97.3029
Sumatera Utara,Nias Barat,Jumlah Laki Laki,Tidak/Belum Tamat SD,2532,1.01902,97.5242
Sumatera Utara,Nias Barat,Jumlah Laki Laki,Tamat SD,5079,1.01902,97.5242
Sumatera Utara,Nias Barat,Jumlah Laki Laki,Tamat SLTP,4920,1.01902,97.5242
Sumatera Utara,Nias Barat,Jumlah Laki Laki,Tamat SLTA,4081,1.01902,97.5242
Sumatera Utara,Nias Barat,Jumlah Laki Laki,Tamat PT,977,1.01902,97.5242
Sumatera Utara,Kota Sibolga,Jumlah Laki Laki,Tidak/Belum Tamat SD,1112,1.72715,98.7986
Sumatera Utara,Kota Sibolga,Jumlah Laki Laki,Tamat SD,5731,1.72715,98.7986
Sumatera Utara,Kota Sibolga,Jumlah Laki Laki,Tamat SLTP,8255,1.72715,98.7986
Sumatera Utara,Kota Sibolga,Jumlah Laki Laki,Tamat SLTA,10833,1.72715,98.7986
Sumatera Utara,Kota Sibolga,Jumlah Laki Laki,Tamat PT,1824,1.72715,98.7986
Sumatera Utara,Kota Tanjung Balai,Jumlah Laki Laki,Tidak/Belum Tamat SD,2632,2.94164,99.7784
Sumatera Utara,Kota Tanjung Balai,Jumlah Laki Laki,Tamat SD,15077,2.94164,99.7784
Sumatera Utara,Kota Tanjung Balai,Jumlah Laki Laki,Tamat SLTP,13543,2.94164,99.7784
Sumatera Utara,Kota Tanjung Balai,Jumlah Laki Laki,Tamat SLTA,16016,2.94164,99.7784
Sumatera Utara,Kota Tanjung Balai,Jumlah Laki Laki,Tamat PT,2567,2.94164,99.7784
Sumatera Utara,Kota Pematang Siantar,Jumlah Laki Laki,Tidak/Belum Tamat SD,1411,2.9676,99.0514
